,City,latitude,Temperature,Humidity,Cloudiness,Wind Speed
532,luwuk,-0.95,78.87,96.0,44.0,5.19
533,antigonish,45.62,69.8,94.0,90.0,5.82
534,mizdah,31.45,71.67,33.0,0.0,6.98
535,babanusah,,,,,
536,callaway,46.98,70.9,78.0,75.0,4.74
537,severo-kurilsk,50.68,51.69,95.0,88.0,14.03
538,kutum,14.2,80.85,45.0,32.0,14.7
539,puerto quijarro,-19.0,63.12,88.0,36.0,2.39
540,kaduna,10.52,70.86,95.0,32.0,5.53
541,beboto,8.27,69.69,97.0,68.0,10.56
542,vardo,39.62,70.83,100.0,90.0,4.7
543,kapustin yar-1,,,,,
544,necochea,-38.55,37.29,87.0,0.0,12.46
545,beringovskiy,63.05,54.12,99.0,32.0,5.64
546,abu samrah,35.3,71.94,82.0,0.0,10.56
547,nadym,65.53,73.2,51.0,76.0,8.66
548,victoria point,-27.58,69.78,26.0,0.0,6.93
549,san patricio,-26.98,54.12,72.0,68.0,5.3
550,genhe,50.78,66.45,89.0,76.0,8.99
551,mpulungu,-8.77,51.24,75.0,0.0,13.24
552,kendari,-3.99,77.07,96.0,92.0,4.07
553,praxedis guerrero,31.37,98.01,14.0,1.0,4.97
554,loreto,-23.27,57.27,89.0,0.0,3.4
555,batticaloa,7.71,85.53,84.0,20.0,15.14
556,haines junction,60.75,73.02,27.0,0.0,3.4
557,marathon,48.72,61.95,68.0,0.0,9.66
558,gucheng,32.27,88.77,71.0,48.0,4.74
559,buritizeiro,-17.37,60.69,58.0,0.0,7.76
560,nyurba,63.29,58.17,69.0,36.0,5.97
561,iqaluit,63.75,48.2,66.0,40.0,5.82
562,jasper,33.83,75.4,83.0,0.0,4.63
563,three hills,51.7,60.8,67.0,40.0,3.36
564,makushino,55.21,60.24,63.0,0.0,13.47
565,volax,41.32,69.8,83.0,20.0,2.17
566,yatou,3.63,77.0,100.0,75.0,3.36
567,kidal,18.44,81.84,57.0,0.0,9.22
568,rio gallegos,-51.62,37.4,64.0,90.0,23.04
569,krasnoselkup,,,,,
570,dubenskiy,,,,,
571,nelson bay,-32.72,64.4,100.0,0.0,10.29
572,tommot,58.97,51.6,78.0,92.0,6.42
573,te anau,-45.41,39.09,100.0,92.0,4.52
574,le port,42.87,38.01,94.0,0.0,0.94
575,labrea,,,,,
576,raudeberg,61.99,57.2,93.0,75.0,9.17
577,ngukurr,,,,,
578,port lincoln,-34.72,63.84,79.0,0.0,26.78
579,san borja,-14.86,62.4,90.0,0.0,2.06
580,karasjok,69.47,53.6,93.0,92.0,3.36
581,zhicheng,35.04,88.95,71.0,36.0,5.86
582,shingu,33.72,91.4,66.0,40.0,11.41
583,san juan,18.47,80.6,78.0,20.0,6.93
584,senno,57.76,64.4,93.0,100.0,2.24
585,georgiyevka,52.25,66.45,96.0,92.0,10.33
586,val-david,46.03,68.0,94.0,20.0,4.7
587,coihaique,-45.58,38.19,76.0,40.0,5.82
588,nouadhibou,20.93,69.8,83.0,12.0,16.11
589,aklavik,68.22,80.6,34.0,20.0,5.82
590,mandalgovi,45.76,79.68,43.0,48.0,13.35
591,pearl,32.27,76.42,100.0,1.0,4.63
592,oktyabrskoye,56.73,61.05,73.0,80.0,10.22
593,pahrump,36.21,98.08,20.0,1.0,4.7
594,seoul,37.57,91.78,49.0,75.0,4.7
595,ahipara,-35.17,55.56,93.0,80.0,8.77
596,san cristobal,-0.39,50.0,87.0,40.0,11.41
597,nemuro,43.32,69.8,56.0,75.0,5.82
598,xapuri,-10.65,65.82,92.0,0.0,2.06
599,amga,60.89,57.18,89.0,92.0,8.77
600,samur,41.83,79.59,92.0,12.0,6.2
601,perelyub,51.87,58.62,90.0,92.0,16.26
602,marawi,8.0,77.52,78.0,92.0,3.96
603,bilibino,68.06,59.88,62.0,8.0,3.4
604,myitkyina,25.38,72.84,100.0,92.0,3.29
605,sevierville,35.87,69.8,100.0,90.0,2.84
606,drochia,48.03,59.25,86.0,0.0,2.73
607,grand-santi,4.27,71.94,100.0,76.0,2.28
608,jalu,29.03,72.93,47.0,0.0,4.74
609,meulaboh,4.14,83.19,98.0,8.0,2.51
610,lima,-12.06,54.57,86.0,12.0,2.28
611,umba,66.69,66.99,81.0,12.0,7.09
612,alyangula,-13.85,77.25,87.0,44.0,11.01
613,olafsvik,,,,,
614,nuuk,64.17,41.16,100.0,0.0,3.74
615,oranjemund,-28.55,61.59,88.0,56.0,4.18
616,solnechnyy,50.72,78.6,61.0,0.0,4.41
617,svetlogorsk,53.14,55.4,71.0,0.0,8.95
618,port macquarie,-31.43,66.2,37.0,0.0,5.82
619,kirakira,-10.46,79.95,100.0,56.0,17.27
620,vestmanna,62.16,50.0,100.0,32.0,4.7
621,marcona,,,,,
622,vaitupu,,,,,
623,emba,34.81,77.52,88.0,0.0,5.82
624,bara,10.41,72.84,92.0,36.0,4.18
625,porto velho,-8.75,71.6,78.0,0.0,2.06
626,williston,48.15,62.55,72.0,1.0,3.36
627,marienburg,52.12,57.2,93.0,0.0,1.12
628,honiara,-9.43,84.2,74.0,75.0,8.05
629,douglas,31.34,89.6,27.0,1.0,13.87
630,hanna,51.64,68.25,39.0,0.0,8.21
631,cap malheureux,-19.98,69.8,60.0,20.0,8.05
632,tabiauea,,,,,
633,gurgan,,,,,
634,guerrero negro,27.97,72.75,84.0,12.0,10.67
635,morondava,-20.3,70.86,79.0,0.0,11.9
636,florianopolis,-27.6,64.4,77.0,75.0,10.29
637,hami,42.84,89.22,36.0,24.0,10.45
638,abalak,15.46,78.15,72.0,0.0,10.33
